sitename,value
aarp.org,12627
acm.org,5443
adf.ly,6077.5
alexa.com,15395
amazon.com,6752
att.com,15475.5
blackboard.com,7602
bleacherreport.com,9851
bloomberg.com,16056
carfax.com,10434.5
cartoonnetwork.com,11979
citi.com,9120
cnet.com,4811
costco.com,14057
diply.com,9327.5
ebay.com,3021.5
etsy.com,12493
heart.org,6894.5
history.com,5588
imgur.com,16013.5
kongregate.com,5522
kotaku.com,8981.5
lifehacker.com,7397
macys.com,19447
marriott.com,9988.5
mathworks.com,6732
mozilla.org,5934
nytimes.com,9304.5
opera.com,4141
overstock.com,3407
playstation.com,20543.5
ranker.com,5897
rantsports.com,6442.5
retailmenot.com,5334.5
samsung.com,4965.5
scribd.com,6527.5
sfgate.com,24817.5
sitepoint.com,6493.5
slideshare.net,6450.5
squareup.com,9665.5
stubhub.com,10716.5
ted.com,7039.5
theatlantic.com,15746.5
theonion.com,8273
vimeo.com,7581.5
weightwatchers.com,40092
whitehouse.gov,5817.5
wiley.com,15442.5
wunderlist.com,6319.5
youtube.com,9606.5
