sitename,value
aarp.org,16758.5
acm.org,11961
adf.ly,8075.5
alexa.com,20994.5
amazon.com,9364.5
att.com,19212.5
blackboard.com,16812.5
bleacherreport.com,17784.5
bloomberg.com,26220
carfax.com,10482.5
cartoonnetwork.com,17281.5
citi.com,14641.5
cnet.com,8415.5
costco.com,22270
diply.com,15231.5
ebay.com,6331.5
etsy.com,14987
heart.org,26547.5
history.com,8557
imgur.com,22493.5
kongregate.com,8327
kotaku.com,12666.5
lifehacker.com,12474.5
macys.com,25190
marriott.com,20742.5
mathworks.com,11169
mozilla.org,9381.5
nytimes.com,17145
opera.com,5871.5
overstock.com,6961.5
playstation.com,27840.5
ranker.com,8953.5
rantsports.com,11691
retailmenot.com,9104.5
samsung.com,12877.5
scribd.com,11988.5
sfgate.com,28567.5
sitepoint.com,10515
slideshare.net,11599.5
squareup.com,12856.5
stubhub.com,14281
ted.com,14892
theatlantic.com,19849.5
theonion.com,15431.5
vimeo.com,10495.5
weightwatchers.com,47702.5
whitehouse.gov,8947.5
wiley.com,27364
wunderlist.com,8882.5
youtube.com,13097.5
