sitename,value,category
aarp.org,11005,Home
acm.org,15483,Computer
adf.ly,1866,Computer
alexa.com,10597,Computer
amazon.com,1147,Shopping
att.com,3530,Business
blackboard.com,8596,Reference
bleacherreport.com,43942,Sports
bloomberg.com,19216,News
carfax.com,1191,Home
cartoonnetwork.com,6804,Kids and Teens
citi.com,3594,Business
cnet.com,1082,Computer
costco.com,7228,Shopping
diply.com,3594,Computer
ebay.com,804,Shopping
etsy.com,4111,Shopping
heart.org,7033,Health
history.com,3660,Kids and Teens
imgur.com,2560,Computer
kongregate.com,1143,Games
kotaku.com,10042,Games
lifehacker.com,7021,Home
macys.com,5723,Shopping
marriott.com,6138,Recreational
mathworks.com,2752,Science
mozilla.org,1583,Computer
nytimes.com,17252,News
opera.com,1114,Computer
overstock.com,2348,Shopping
playstation.com,5547,Games
ranker.com,2536,News
rantsports.com,16553,Sports
retailmenot.com,1643,Shopping
samsung.com,2234,Business
scribd.com,3931,Business
sfgate.com,10116,News
sitepoint.com,6252,Reference
slideshare.net,1142,Computer
squareup.com,4224,Business
stubhub.com,1366,Shopping
ted.com,5246,Science
theatlantic.com,17475,News
theonion.com,8526,Shopping
vimeo.com,2388,Computer
weightwatchers.com,15026,Health
whitehouse.gov,2308,Society
wiley.com,5262,Business
wunderlist.com,2142,Home
youtube.com,2457,Computer
