sitename,value
aarp.org,6455
acm.org,6040.5
adf.ly,4554
alexa.com,8016
amazon.com,5223.5
att.com,7608
blackboard.com,8621.5
bleacherreport.com,9444
bloomberg.com,8231
carfax.com,4705
cartoonnetwork.com,6963
citi.com,5901.5
cnet.com,6737
costco.com,6367
diply.com,6304.5
ebay.com,4262.5
etsy.com,7145.5
heart.org,7573
history.com,4916.5
imgur.com,5967
kongregate.com,4332.5
kotaku.com,8338
lifehacker.com,6946
macys.com,7535
marriott.com,7681.5
mathworks.com,5352
mozilla.org,5149
nytimes.com,6807.5
opera.com,3425
overstock.com,4185
playstation.com,9219
ranker.com,5251
rantsports.com,5875
retailmenot.com,4393.5
samsung.com,4737.5
scribd.com,6320.5
sfgate.com,11334.5
sitepoint.com,5286
slideshare.net,6403.5
squareup.com,6483
stubhub.com,5744
ted.com,6573.5
theatlantic.com,7778.5
theonion.com,6644
vimeo.com,5438.5
weightwatchers.com,10574.5
whitehouse.gov,4894.5
wiley.com,7922.5
wunderlist.com,4830.5
youtube.com,4833
