sitename,value,category,js,img,total
aarp.org,64770,Home,136,24,405
acm.org,83924,Computer,29,60,198
adf.ly,9419,Computer,26,42,87
alexa.com,56511,Computer,107,24,159
amazon.com,5996,Shopping,17,51,123
att.com,21469,Business,61,38,193
blackboard.com,45542,Reference,18,12,75
bleacherreport.com,120000,Sports,89,169,462
bloomberg.com,100994,News,59,46,382
carfax.com,6334,Home,10,6,38
cartoonnetwork.com,34324,Kids and Teens,25,44,94
citi.com,13053,Business,46,16,109
cnet.com,4915,Computer,115,44,453
costco.com,41371,Shopping,22,37,95
diply.com,19107,Computer,40,35,126
ebay.com,3212,Shopping,12,,111
etsy.com,19359,Shopping,13,28,79
heart.org,36932,Health,34,44,158
history.com,18885,Kids and Teens,69,23,208
imgur.com,12810,Computer,12,18,91
kongregate.com,6010,Games,3,30,43
kotaku.com,53728,Games,146,13,298
lifehacker.com,37870,Home,146,13,315
macys.com,30723,Shopping,76,28,213
marriott.com,32041,Recreational,40,51,170
mathworks.com,14495,Science,23,20,80
mozilla.org,8473,Computer,8,,35
nytimes.com,95176,News,39,52,172
opera.com,5516,Computer,11,6,45
overstock.com,12237,Shopping,32,23,143
playstation.com,30074,Games,74,,228
ranker.com,12923,News,35,4,162
rantsports.com,87959,Sports,16,36,80
retailmenot.com,8108,Shopping,16,39,102
samsung.com,13164,Business,61,,103
scribd.com,20190,Business,19,23,104
sfgate.com,47868,News,49,105,275
sitepoint.com,33106,Reference,93,50,412
slideshare.net,4825,Computer,6,11,33
squareup.com,21783,Business,47,12,152
stubhub.com,6960,Shopping,54,35,156
ted.com,26951,Science,14,68,107
theatlantic.com,94259,News,38,52,153
theonion.com,45117,Shopping,48,14,216
vimeo.com,11153,Computer,28,5,86
weightwatchers.com,80753,Health,35,22,138
whitehouse.gov,11571,Society,8,19,52
wiley.com,27362,Business,77,,111
wunderlist.com,11372,Home,5,13,32
youtube.com,12955,Computer,7,31,55
